recorded_at,nvidia_timestamp,name,driver_version,pstate,temperature_c,gpu_util_percent,memory_used_mib,memory_total_mib,power_w,power_limit_w,graphics_clock_mhz,memory_clock_mhz,pcie_generation,pcie_width
2026-09-01T10:37:13.0622199+07:00,2026/09/01 10:37:13.124, NVIDIA GeForce RTX 5060, 591.86, P0, 31, 0, 244, 8151, 22.17, 145.00, 2557, 14201, 4, 8
2026-09-01T10:37:18.5787423+07:00,2026/09/01 10:37:18.614, NVIDIA GeForce RTX 5060, 591.86, P0, 31, 0, 280, 8151, 22.81, 145.00, 2550, 14201, 4, 8
2026-09-01T10:37:23.6249963+07:00,2026/09/01 10:37:23.658, NVIDIA GeForce RTX 5060, 591.86, P3, 31, 2, 510, 8151, 22.84, 145.00, 2580, 7001, 2, 8
2026-09-01T10:37:28.6821834+07:00,2026/09/01 10:37:28.713, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 442, 8151, 23.29, 145.00, 2550, 14201, 4, 8
2026-09-01T10:37:33.7272963+07:00,2026/09/01 10:37:33.758, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 405, 8151, 9.74, 145.00, 525, 405, 1, 8
2026-09-01T10:37:38.8100752+07:00,2026/09/01 10:37:38.841, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 378, 8151, 8.97, 145.00, 345, 405, 1, 8
2026-09-01T10:37:43.8754109+07:00,2026/09/01 10:37:43.906, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 344, 8151, 8.96, 145.00, 315, 405, 1, 8
2026-09-01T10:37:48.9681113+07:00,2026/09/01 10:37:48.999, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 344, 8151, 9.05, 145.00, 337, 405, 1, 8
2026-09-01T10:37:54.0153171+07:00,2026/09/01 10:37:54.046, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 345, 8151, 9.07, 145.00, 330, 405, 1, 8
2026-09-01T10:37:59.0628876+07:00,2026/09/01 10:37:59.093, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 342, 8151, 9.05, 145.00, 307, 405, 1, 8
2026-09-01T10:38:04.1119627+07:00,2026/09/01 10:38:04.142, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 342, 8151, 9.03, 145.00, 345, 405, 1, 8
2026-09-01T10:38:09.1610010+07:00,2026/09/01 10:38:09.192, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 438, 8151, 23.24, 145.00, 2557, 14201, 4, 8
2026-09-01T10:38:14.2089515+07:00,2026/09/01 10:38:14.239, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 427, 8151, 9.22, 145.00, 345, 405, 1, 8
2026-09-01T10:38:19.3004144+07:00,2026/09/01 10:38:19.331, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 427, 8151, 9.12, 145.00, 307, 405, 1, 8
2026-09-01T10:38:24.3423505+07:00,2026/09/01 10:38:24.373, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 427, 8151, 9.20, 145.00, 315, 405, 1, 8
