recorded_at,nvidia_timestamp,name,driver_version,pstate,temperature_c,gpu_util_percent,memory_used_mib,memory_total_mib,power_w,power_limit_w,graphics_clock_mhz,memory_clock_mhz,pcie_generation,pcie_width
2026-08-31T16:23:58.9434354+07:00,2026/08/31 16:23:58.974, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 1, 854, 8151, 23.64, 145.00, 2565, 14201, 4, 8
2026-08-31T16:24:03.9920219+07:00,2026/08/31 16:24:04.023, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 2, 951, 8151, 24.52, 145.00, 2580, 14201, 4, 8
2026-08-31T16:24:09.0353235+07:00,2026/08/31 16:24:09.066, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 952, 8151, 9.82, 145.00, 397, 405, 1, 8
2026-08-31T16:24:14.0806270+07:00,2026/08/31 16:24:14.111, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 949, 8151, 23.33, 145.00, 2550, 14201, 4, 8
2026-08-31T16:24:19.1264417+07:00,2026/08/31 16:24:19.157, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 1, 1007, 8151, 15.64, 145.00, 2557, 14201, 4, 8
2026-08-31T16:24:24.2770868+07:00,2026/08/31 16:24:24.323, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 3, 1018, 8151, 12.35, 145.00, 667, 405, 1, 8
2026-08-31T16:24:29.3334516+07:00,2026/08/31 16:24:29.394, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 10, 984, 8151, 11.33, 145.00, 697, 405, 1, 8
2026-08-31T16:24:34.4114417+07:00,2026/08/31 16:24:34.457, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 998, 8151, 10.35, 145.00, 472, 405, 1, 8
2026-08-31T16:24:39.4701778+07:00,2026/08/31 16:24:39.500, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 1, 984, 8151, 23.40, 145.00, 2565, 14201, 4, 8
2026-08-31T16:24:44.5128609+07:00,2026/08/31 16:24:44.543, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 997, 8151, 10.33, 145.00, 435, 405, 1, 8
2026-08-31T16:24:49.5564433+07:00,2026/08/31 16:24:49.586, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 1034, 8151, 22.71, 145.00, 2542, 14201, 4, 8
2026-08-31T16:24:54.6828294+07:00,2026/08/31 16:24:54.713, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 5, 1005, 8151, 10.11, 145.00, 630, 405, 1, 8
2026-08-31T16:24:59.7305176+07:00,2026/08/31 16:24:59.761, NVIDIA GeForce RTX 5060, 591.86, P3, 31, 0, 981, 8151, 20.11, 145.00, 690, 7001, 4, 8
2026-08-31T16:25:04.7809637+07:00,2026/08/31 16:25:04.811, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 0, 973, 8151, 9.69, 145.00, 367, 405, 1, 8
2026-08-31T16:25:09.8315530+07:00,2026/08/31 16:25:09.862, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 0, 954, 8151, 9.61, 145.00, 375, 405, 1, 8
2026-08-31T16:25:14.8814478+07:00,2026/08/31 16:25:14.912, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 954, 8151, 9.62, 145.00, 427, 405, 1, 8
2026-08-31T16:25:19.9217950+07:00,2026/08/31 16:25:19.952, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 2, 954, 8151, 9.75, 145.00, 367, 405, 1, 8
2026-08-31T16:25:25.0080809+07:00,2026/08/31 16:25:25.038, NVIDIA GeForce RTX 5060, 591.86, P5, 31, 0, 954, 8151, 19.83, 145.00, 607, 810, 2, 8
2026-08-31T16:25:30.0566305+07:00,2026/08/31 16:25:30.087, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 7, 971, 8151, 9.60, 145.00, 450, 405, 1, 8
2026-08-31T16:25:35.0954028+07:00,2026/08/31 16:25:35.126, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 971, 8151, 9.51, 145.00, 390, 405, 1, 8
2026-08-31T16:25:40.1328845+07:00,2026/08/31 16:25:40.163, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 956, 8151, 9.47, 145.00, 367, 405, 1, 8
2026-08-31T16:25:45.1840007+07:00,2026/08/31 16:25:45.214, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 956, 8151, 9.40, 145.00, 367, 405, 1, 8
2026-08-31T16:25:50.2240385+07:00,2026/08/31 16:25:50.255, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.41, 145.00, 382, 405, 1, 8
2026-08-31T16:25:55.3100873+07:00,2026/08/31 16:25:55.341, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.36, 145.00, 345, 405, 1, 8
2026-08-31T16:26:00.3503815+07:00,2026/08/31 16:26:00.381, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 948, 8151, 22.52, 145.00, 2535, 14201, 4, 8
2026-08-31T16:26:05.4027107+07:00,2026/08/31 16:26:05.433, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 948, 8151, 9.40, 145.00, 337, 405, 1, 8
2026-08-31T16:26:10.4555633+07:00,2026/08/31 16:26:10.486, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 948, 8151, 9.36, 145.00, 352, 405, 1, 8
2026-08-31T16:26:15.4933381+07:00,2026/08/31 16:26:15.524, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 948, 8151, 9.48, 145.00, 352, 405, 1, 8
2026-08-31T16:26:20.5385917+07:00,2026/08/31 16:26:20.569, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 953, 8151, 9.54, 145.00, 397, 405, 1, 8
2026-08-31T16:26:25.6201696+07:00,2026/08/31 16:26:25.666, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 955, 8151, 9.39, 145.00, 375, 405, 1, 8
2026-08-31T16:26:30.6845195+07:00,2026/08/31 16:26:30.731, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 955, 8151, 9.27, 145.00, 360, 405, 1, 8
2026-08-31T16:26:35.7522075+07:00,2026/08/31 16:26:35.783, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 959, 8151, 9.27, 145.00, 390, 405, 1, 8
2026-08-31T16:26:40.8037609+07:00,2026/08/31 16:26:40.834, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 14, 986, 8151, 9.44, 145.00, 525, 405, 4, 8
2026-08-31T16:26:45.8467157+07:00,2026/08/31 16:26:45.883, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 956, 8151, 22.97, 145.00, 2535, 14201, 4, 8
2026-08-31T16:26:50.9006275+07:00,2026/08/31 16:26:50.932, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 993, 8151, 22.63, 145.00, 2542, 14201, 4, 8
2026-08-31T16:26:55.9988377+07:00,2026/08/31 16:26:56.032, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 929, 8151, 9.57, 145.00, 435, 405, 1, 8
2026-08-31T16:27:01.0491724+07:00,2026/08/31 16:27:01.081, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 931, 8151, 9.60, 145.00, 435, 405, 1, 8
2026-08-31T16:27:06.0990331+07:00,2026/08/31 16:27:06.125, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 931, 8151, 9.47, 145.00, 382, 405, 1, 8
2026-08-31T16:27:11.1487863+07:00,2026/08/31 16:27:11.182, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.30, 145.00, 412, 405, 1, 8
2026-08-31T16:27:16.1978362+07:00,2026/08/31 16:27:16.230, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 931, 8151, 9.52, 145.00, 390, 405, 1, 8
2026-08-31T16:27:21.2474097+07:00,2026/08/31 16:27:21.280, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 930, 8151, 9.82, 145.00, 435, 405, 1, 8
2026-08-31T16:27:26.3158382+07:00,2026/08/31 16:27:26.346, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.45, 145.00, 412, 405, 1, 8
2026-08-31T16:27:31.3636012+07:00,2026/08/31 16:27:31.397, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.59, 145.00, 397, 405, 1, 8
2026-08-31T16:27:36.4139717+07:00,2026/08/31 16:27:36.446, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.67, 145.00, 412, 405, 1, 8
2026-08-31T16:27:41.4637397+07:00,2026/08/31 16:27:41.497, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.74, 145.00, 427, 405, 1, 8
2026-08-31T16:27:46.5134802+07:00,2026/08/31 16:27:46.545, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.72, 145.00, 435, 405, 1, 8
2026-08-31T16:27:51.5615477+07:00,2026/08/31 16:27:51.597, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.56, 145.00, 397, 405, 1, 8
2026-08-31T16:27:56.6618576+07:00,2026/08/31 16:27:56.695, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.65, 145.00, 397, 405, 1, 8
2026-08-31T16:28:01.7125556+07:00,2026/08/31 16:28:01.745, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 0, 948, 8151, 9.35, 145.00, 412, 405, 1, 8
2026-08-31T16:28:06.7623772+07:00,2026/08/31 16:28:06.796, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 934, 8151, 9.54, 145.00, 405, 405, 1, 8
2026-08-31T16:28:11.8115658+07:00,2026/08/31 16:28:11.844, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 953, 8151, 9.66, 145.00, 435, 405, 1, 8
2026-08-31T16:28:16.8608783+07:00,2026/08/31 16:28:16.894, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 934, 8151, 9.71, 145.00, 435, 405, 1, 8
2026-08-31T16:28:21.9115340+07:00,2026/08/31 16:28:21.944, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.72, 145.00, 405, 405, 1, 8
2026-08-31T16:28:26.9960427+07:00,2026/08/31 16:28:27.027, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 931, 8151, 9.63, 145.00, 390, 405, 1, 8
2026-08-31T16:28:32.0417617+07:00,2026/08/31 16:28:32.076, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.68, 145.00, 390, 405, 1, 8
2026-08-31T16:28:37.0932668+07:00,2026/08/31 16:28:37.141, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 935, 8151, 9.59, 145.00, 405, 405, 1, 8
2026-08-31T16:28:42.1604575+07:00,2026/08/31 16:28:42.194, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 947, 8151, 9.66, 145.00, 405, 405, 1, 8
2026-08-31T16:28:47.2091662+07:00,2026/08/31 16:28:47.242, NVIDIA GeForce RTX 5060, 591.86, P5, 31, 0, 934, 8151, 14.74, 145.00, 555, 810, 2, 8
2026-08-31T16:28:52.2598930+07:00,2026/08/31 16:28:52.291, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.64, 145.00, 397, 405, 1, 8
2026-08-31T16:28:57.3421285+07:00,2026/08/31 16:28:57.375, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.57, 145.00, 405, 405, 1, 8
2026-08-31T16:29:02.3934697+07:00,2026/08/31 16:29:02.426, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.61, 145.00, 382, 405, 1, 8
2026-08-31T16:29:07.4398318+07:00,2026/08/31 16:29:07.475, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 2, 948, 8151, 9.45, 145.00, 405, 405, 1, 8
2026-08-31T16:29:12.4913914+07:00,2026/08/31 16:29:12.524, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 949, 8151, 9.57, 145.00, 397, 405, 1, 8
2026-08-31T16:29:17.5416025+07:00,2026/08/31 16:29:17.574, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.50, 145.00, 412, 405, 1, 8
2026-08-31T16:29:22.5910139+07:00,2026/08/31 16:29:22.624, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 948, 8151, 9.56, 145.00, 382, 405, 1, 8
2026-08-31T16:29:27.6767480+07:00,2026/08/31 16:29:27.707, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 953, 8151, 9.60, 145.00, 420, 405, 1, 8
2026-08-31T16:29:32.7243669+07:00,2026/08/31 16:29:32.757, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 963, 8151, 9.42, 145.00, 420, 405, 1, 8
2026-08-31T16:29:37.7612323+07:00,2026/08/31 16:29:37.790, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 955, 8151, 9.48, 145.00, 420, 405, 1, 8
2026-08-31T16:29:42.7936011+07:00,2026/08/31 16:29:42.823, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 958, 8151, 9.50, 145.00, 390, 405, 1, 8
2026-08-31T16:29:47.8387221+07:00,2026/08/31 16:29:47.872, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 981, 8151, 23.13, 145.00, 2542, 14201, 4, 8
2026-08-31T16:29:52.8925321+07:00,2026/08/31 16:29:52.922, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 979, 8151, 9.58, 145.00, 390, 405, 1, 8
2026-08-31T16:29:57.9748865+07:00,2026/08/31 16:29:58.008, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 1074, 8151, 23.46, 145.00, 2550, 14201, 4, 8
2026-08-31T16:30:03.0210658+07:00,2026/08/31 16:30:03.052, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 2, 1062, 8151, 23.92, 145.00, 2602, 14201, 4, 8
2026-08-31T16:30:08.0715857+07:00,2026/08/31 16:30:08.105, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 1, 1054, 8151, 22.83, 145.00, 2550, 14201, 4, 8
2026-08-31T16:30:13.1176442+07:00,2026/08/31 16:30:13.154, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 1, 1046, 8151, 23.58, 145.00, 2542, 14201, 4, 8
2026-08-31T16:30:18.1689716+07:00,2026/08/31 16:30:18.208, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 0, 1009, 8151, 23.29, 145.00, 2557, 14201, 4, 8
2026-08-31T16:30:23.2227301+07:00,2026/08/31 16:30:23.254, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 1004, 8151, 10.59, 145.00, 487, 405, 1, 8
2026-08-31T16:30:28.3056564+07:00,2026/08/31 16:30:28.338, NVIDIA GeForce RTX 5060, 591.86, P5, 31, 1, 992, 8151, 13.67, 145.00, 502, 810, 2, 8
2026-08-31T16:30:33.3537943+07:00,2026/08/31 16:30:33.387, NVIDIA GeForce RTX 5060, 591.86, P0, 32, 1, 994, 8151, 14.32, 145.00, 1522, 14201, 4, 8
2026-08-31T16:30:38.4035768+07:00,2026/08/31 16:30:38.436, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 992, 8151, 10.13, 145.00, 420, 405, 1, 8
2026-08-31T16:30:43.4540751+07:00,2026/08/31 16:30:43.487, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 984, 8151, 9.73, 145.00, 435, 405, 1, 8
2026-08-31T16:30:48.5027150+07:00,2026/08/31 16:30:48.536, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 967, 8151, 9.88, 145.00, 435, 405, 1, 8
2026-08-31T16:30:53.5525563+07:00,2026/08/31 16:30:53.585, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 2, 967, 8151, 9.77, 145.00, 420, 405, 1, 8
2026-08-31T16:30:58.6376483+07:00,2026/08/31 16:30:58.669, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 967, 8151, 9.74, 145.00, 405, 405, 1, 8
2026-08-31T16:31:03.6851684+07:00,2026/08/31 16:31:03.719, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 967, 8151, 9.64, 145.00, 412, 405, 1, 8
2026-08-31T16:31:08.7369990+07:00,2026/08/31 16:31:08.769, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 967, 8151, 9.46, 145.00, 405, 405, 1, 8
2026-08-31T16:31:13.7847275+07:00,2026/08/31 16:31:13.818, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 968, 8151, 9.55, 145.00, 382, 405, 1, 8
2026-08-31T16:31:18.8360076+07:00,2026/08/31 16:31:18.866, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 968, 8151, 9.68, 145.00, 412, 405, 1, 8
2026-08-31T16:31:23.8832811+07:00,2026/08/31 16:31:23.917, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 962, 8151, 9.58, 145.00, 397, 405, 1, 8
2026-08-31T16:31:28.9712907+07:00,2026/08/31 16:31:29.000, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 0, 962, 8151, 9.50, 145.00, 405, 405, 1, 8
2026-08-31T16:31:34.0169827+07:00,2026/08/31 16:31:34.050, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 0, 962, 8151, 9.56, 145.00, 405, 405, 1, 8
2026-08-31T16:31:39.0676476+07:00,2026/08/31 16:31:39.092, NVIDIA GeForce RTX 5060, 591.86, P8, 31, 1, 962, 8151, 9.64, 145.00, 420, 405, 1, 8
2026-08-31T16:31:44.1010481+07:00,2026/08/31 16:31:44.134, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 962, 8151, 9.57, 145.00, 405, 405, 1, 8
2026-08-31T16:31:49.1499436+07:00,2026/08/31 16:31:49.185, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 962, 8151, 9.52, 145.00, 397, 405, 1, 8
2026-08-31T16:31:54.2009539+07:00,2026/08/31 16:31:54.233, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 968, 8151, 9.45, 145.00, 412, 405, 1, 8
2026-08-31T16:31:59.2859196+07:00,2026/08/31 16:31:59.315, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 967, 8151, 9.78, 145.00, 412, 405, 1, 8
2026-08-31T16:32:04.3327586+07:00,2026/08/31 16:32:04.366, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 967, 8151, 9.68, 145.00, 412, 405, 1, 8
2026-08-31T16:32:09.3818059+07:00,2026/08/31 16:32:09.415, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 966, 8151, 9.55, 145.00, 412, 405, 1, 8
2026-08-31T16:32:14.4309007+07:00,2026/08/31 16:32:14.463, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 967, 8151, 9.55, 145.00, 397, 405, 1, 8
2026-08-31T16:32:19.4821746+07:00,2026/08/31 16:32:19.515, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 962, 8151, 9.58, 145.00, 427, 405, 1, 8
2026-08-31T16:32:24.5318716+07:00,2026/08/31 16:32:24.565, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 962, 8151, 9.56, 145.00, 397, 405, 1, 8
2026-08-31T16:32:29.6306783+07:00,2026/08/31 16:32:29.664, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 968, 8151, 9.64, 145.00, 390, 405, 1, 8
2026-08-31T16:32:34.6806428+07:00,2026/08/31 16:32:34.715, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 968, 8151, 9.71, 145.00, 420, 405, 1, 8
2026-08-31T16:32:39.7300350+07:00,2026/08/31 16:32:39.764, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 968, 8151, 9.62, 145.00, 412, 405, 1, 8
2026-08-31T16:32:44.7798736+07:00,2026/08/31 16:32:44.813, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 968, 8151, 9.65, 145.00, 390, 405, 1, 8
2026-08-31T16:32:49.8304901+07:00,2026/08/31 16:32:49.863, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 937, 8151, 9.68, 145.00, 397, 405, 1, 8
2026-08-31T16:32:54.8789731+07:00,2026/08/31 16:32:54.912, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 938, 8151, 9.69, 145.00, 397, 405, 1, 8
2026-08-31T16:32:59.9632829+07:00,2026/08/31 16:32:59.996, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 937, 8151, 9.67, 145.00, 405, 405, 1, 8
2026-08-31T16:33:04.9971048+07:00,2026/08/31 16:33:05.028, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 937, 8151, 9.60, 145.00, 412, 405, 1, 8
2026-08-31T16:33:10.0451779+07:00,2026/08/31 16:33:10.078, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 937, 8151, 9.66, 145.00, 412, 405, 1, 8
2026-08-31T16:33:15.0958530+07:00,2026/08/31 16:33:15.129, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 1, 937, 8151, 9.56, 145.00, 420, 405, 1, 8
