recorded_at,nvidia_timestamp,name,driver_version,pstate,temperature_c,gpu_util_percent,memory_used_mib,memory_total_mib,power_w,power_limit_w,graphics_clock_mhz,memory_clock_mhz,pcie_generation,pcie_width
2026-09-02T09:54:09.9409269+07:00,2026/09/02 09:54:10.034, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 236, 8151, 22.23, 145.00, 2512, 14201, 4, 8
2026-09-02T09:54:15.4416833+07:00,2026/09/02 09:54:15.472, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 251, 8151, 22.24, 145.00, 2512, 14201, 4, 8
2026-09-02T09:54:20.4800475+07:00,2026/09/02 09:54:20.511, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 4, 263, 8151, 23.41, 145.00, 2565, 14201, 4, 8
2026-09-02T09:54:25.5214299+07:00,2026/09/02 09:54:25.552, NVIDIA GeForce RTX 5060, 591.86, P5, 29, 0, 284, 8151, 10.62, 145.00, 765, 810, 2, 8
2026-09-02T09:54:30.5640639+07:00,2026/09/02 09:54:30.595, NVIDIA GeForce RTX 5060, 591.86, P8, 28, 0, 284, 8151, 9.28, 145.00, 495, 405, 1, 8
2026-09-02T09:54:35.6106205+07:00,2026/09/02 09:54:35.641, NVIDIA GeForce RTX 5060, 591.86, P8, 28, 0, 287, 8151, 8.94, 145.00, 322, 405, 1, 8
2026-09-02T09:54:40.6567259+07:00,2026/09/02 09:54:40.687, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 288, 8151, 8.96, 145.00, 405, 405, 1, 8
2026-09-02T09:54:45.8079456+07:00,2026/09/02 09:54:45.838, NVIDIA GeForce RTX 5060, 591.86, P8, 28, 0, 290, 8151, 8.98, 145.00, 367, 405, 1, 8
2026-09-02T09:54:50.8496174+07:00,2026/09/02 09:54:50.880, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 291, 8151, 9.45, 145.00, 427, 405, 1, 8
2026-09-02T09:54:55.8923143+07:00,2026/09/02 09:54:55.923, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 310, 8151, 10.12, 145.00, 225, 405, 1, 8
2026-09-02T09:55:00.9405872+07:00,2026/09/02 09:55:00.971, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 412, 8151, 15.36, 145.00, 2527, 14201, 4, 8
2026-09-02T09:55:05.9796420+07:00,2026/09/02 09:55:06.041, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 444, 8151, 15.45, 145.00, 2520, 14201, 4, 8
2026-09-02T09:55:11.0492946+07:00,2026/09/02 09:55:11.080, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 1, 475, 8151, 21.85, 145.00, 2542, 14201, 4, 8
2026-09-02T09:55:16.1443721+07:00,2026/09/02 09:55:16.175, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 0, 475, 8151, 8.55, 145.00, 202, 405, 1, 8
2026-09-02T09:55:21.1908191+07:00,2026/09/02 09:55:21.221, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 0, 475, 8151, 8.35, 145.00, 210, 405, 1, 8
