recorded_at,nvidia_timestamp,name,driver_version,pstate,temperature_c,gpu_util_percent,memory_used_mib,memory_total_mib,power_w,power_limit_w,graphics_clock_mhz,memory_clock_mhz,pcie_generation,pcie_width
2026-09-07T12:59:58.4190592+07:00,2026/09/07 12:59:58.513, NVIDIA GeForce RTX 5060, 591.86, P0, 27, 0, 234, 8151, 23.41, 145.00, 2527, 14201, 4, 8
2026-09-07T13:00:03.8817948+07:00,2026/09/07 13:00:03.913, NVIDIA GeForce RTX 5060, 591.86, P0, 27, 7, 247, 8151, 18.46, 145.00, 502, 14201, 4, 8
2026-09-07T13:00:08.9176804+07:00,2026/09/07 13:00:08.948, NVIDIA GeForce RTX 5060, 591.86, P5, 27, 0, 269, 8151, 17.72, 145.00, 652, 810, 2, 8
2026-09-07T13:00:13.9533538+07:00,2026/09/07 13:00:13.984, NVIDIA GeForce RTX 5060, 591.86, P8, 26, 0, 274, 8151, 10.26, 145.00, 427, 810, 1, 8
2026-09-07T13:00:18.9846116+07:00,2026/09/07 13:00:19.015, NVIDIA GeForce RTX 5060, 591.86, P8, 26, 0, 274, 8151, 8.88, 145.00, 210, 405, 1, 8
2026-09-07T13:00:24.0194303+07:00,2026/09/07 13:00:24.050, NVIDIA GeForce RTX 5060, 591.86, P8, 26, 0, 252, 8151, 8.34, 145.00, 210, 405, 1, 8
2026-09-07T13:00:29.0592496+07:00,2026/09/07 13:00:29.090, NVIDIA GeForce RTX 5060, 591.86, P8, 26, 0, 252, 8151, 8.33, 145.00, 210, 405, 1, 8
2026-09-07T13:00:34.1571161+07:00,2026/09/07 13:00:34.188, NVIDIA GeForce RTX 5060, 591.86, P8, 26, 0, 252, 8151, 8.02, 145.00, 202, 405, 1, 8
2026-09-07T13:00:39.2097371+07:00,2026/09/07 13:00:39.240, NVIDIA GeForce RTX 5060, 591.86, P8, 26, 0, 252, 8151, 8.84, 145.00, 210, 405, 1, 8
2026-09-07T13:00:44.2622563+07:00,2026/09/07 13:00:44.292, NVIDIA GeForce RTX 5060, 591.86, P8, 26, 0, 252, 8151, 9.19, 145.00, 337, 405, 1, 8
2026-09-07T13:00:46.9025212+07:00,2026/09/07 13:00:46.948, NVIDIA GeForce RTX 5060, 591.86, P0, 28, 0, 267, 8151, 22.96, 145.00, 2512, 14201, 4, 8
2026-09-07T13:00:51.9634553+07:00,2026/09/07 13:00:51.994, NVIDIA GeForce RTX 5060, 591.86, P0, 28, 0, 277, 8151, 15.12, 145.00, 2535, 14201, 4, 8
2026-09-07T13:00:57.0111679+07:00,2026/09/07 13:00:57.042, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 1, 277, 8151, 9.70, 145.00, 300, 405, 1, 8
2026-09-07T13:01:02.0572144+07:00,2026/09/07 13:01:02.087, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 1, 277, 8151, 9.02, 145.00, 210, 405, 1, 8
2026-09-07T13:01:07.1741975+07:00,2026/09/07 13:01:07.204, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 277, 8151, 8.90, 145.00, 300, 405, 1, 8
2026-09-07T13:01:12.2250216+07:00,2026/09/07 13:01:12.255, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 277, 8151, 9.11, 145.00, 367, 405, 1, 8
2026-09-07T13:01:17.2661980+07:00,2026/09/07 13:01:17.297, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 277, 8151, 9.08, 145.00, 210, 405, 1, 8
2026-09-07T13:01:22.3115129+07:00,2026/09/07 13:01:22.354, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 277, 8151, 8.71, 145.00, 232, 405, 1, 8
2026-09-07T13:01:27.3660156+07:00,2026/09/07 13:01:27.410, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 277, 8151, 8.63, 145.00, 210, 405, 1, 8
2026-09-07T13:01:32.4256936+07:00,2026/09/07 13:01:32.470, NVIDIA GeForce RTX 5060, 591.86, P5, 27, 0, 293, 8151, 17.08, 145.00, 517, 810, 2, 8
2026-09-07T13:01:37.5409164+07:00,2026/09/07 13:01:37.586, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 293, 8151, 8.60, 145.00, 352, 405, 1, 8
2026-09-07T13:01:42.6003714+07:00,2026/09/07 13:01:42.631, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 292, 8151, 8.65, 145.00, 322, 405, 1, 8
2026-09-07T13:01:47.6475966+07:00,2026/09/07 13:01:47.677, NVIDIA GeForce RTX 5060, 591.86, P8, 27, 0, 292, 8151, 8.72, 145.00, 345, 405, 1, 8
2026-09-07T13:01:52.6937469+07:00,2026/09/07 13:01:52.723, NVIDIA GeForce RTX 5060, 591.86, P5, 28, 0, 292, 8151, 22.66, 145.00, 2527, 810, 4, 8
