recorded_at,nvidia_timestamp,name,driver_version,pstate,temperature_c,gpu_util_percent,memory_used_mib,memory_total_mib,power_w,power_limit_w,graphics_clock_mhz,memory_clock_mhz,pcie_generation,pcie_width
2026-09-04T08:34:09.0713615+07:00,2026/09/04 08:34:09.138, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 250, 8151, 23.46, 145.00, 2527, 14201, 4, 8
2026-09-04T08:34:15.5920555+07:00,2026/09/04 08:34:15.623, NVIDIA GeForce RTX 5060, 591.86, P5, 30, 1, 292, 8151, 21.29, 145.00, 2542, 810, 2, 8
2026-09-04T08:34:20.6271953+07:00,2026/09/04 08:34:20.658, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 9, 297, 8151, 10.36, 145.00, 570, 405, 1, 8
2026-09-04T08:34:25.7217266+07:00,2026/09/04 08:34:25.752, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 3, 295, 8151, 10.70, 145.00, 487, 405, 1, 8
2026-09-04T08:34:30.7736097+07:00,2026/09/04 08:34:30.804, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 293, 8151, 9.23, 145.00, 495, 405, 1, 8
2026-09-04T08:34:35.8408394+07:00,2026/09/04 08:34:35.871, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 2, 296, 8151, 9.05, 145.00, 232, 405, 1, 8
2026-09-04T08:34:40.9078743+07:00,2026/09/04 08:34:40.938, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 296, 8151, 8.74, 145.00, 232, 405, 1, 8
2026-09-04T08:34:46.0070030+07:00,2026/09/04 08:34:46.038, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 307, 8151, 23.03, 145.00, 2550, 14201, 2, 8
2026-09-04T08:34:51.0596963+07:00,2026/09/04 08:34:51.090, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 327, 8151, 23.05, 145.00, 2542, 14201, 4, 8
2026-09-04T08:34:56.3278913+07:00,2026/09/04 08:34:56.358, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 0, 327, 8151, 9.36, 145.00, 382, 405, 1, 8
2026-09-04T08:35:01.3910561+07:00,2026/09/04 08:35:01.422, NVIDIA GeForce RTX 5060, 591.86, P0, 30, 0, 365, 8151, 23.13, 145.00, 2557, 14201, 4, 8
2026-09-04T08:35:06.4733351+07:00,2026/09/04 08:35:06.504, NVIDIA GeForce RTX 5060, 591.86, P0, 31, 0, 438, 8151, 22.87, 145.00, 2527, 14201, 4, 8
2026-09-04T08:35:11.5264478+07:00,2026/09/04 08:35:11.557, NVIDIA GeForce RTX 5060, 591.86, P0, 31, 0, 440, 8151, 21.97, 145.00, 2527, 14201, 4, 8
2026-09-04T08:35:17.2148633+07:00,2026/09/04 08:35:17.245, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 0, 421, 8151, 9.47, 145.00, 412, 405, 1, 8
2026-09-04T08:35:22.2666539+07:00,2026/09/04 08:35:22.297, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 0, 426, 8151, 9.44, 145.00, 277, 405, 1, 8
2026-09-04T08:35:27.3053806+07:00,2026/09/04 08:35:27.336, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 2, 459, 8151, 9.64, 145.00, 322, 405, 1, 8
2026-09-04T08:35:32.3431546+07:00,2026/09/04 08:35:32.373, NVIDIA GeForce RTX 5060, 591.86, P5, 30, 2, 515, 8151, 12.66, 145.00, 592, 810, 2, 8
2026-09-04T08:35:37.3953302+07:00,2026/09/04 08:35:37.488, NVIDIA GeForce RTX 5060, 591.86, P0, 31, 1, 662, 8151, 23.17, 145.00, 2535, 14201, 4, 8
2026-09-04T08:35:42.5723297+07:00,2026/09/04 08:35:42.603, NVIDIA GeForce RTX 5060, 591.86, P0, 31, 2, 812, 8151, 23.52, 145.00, 2587, 14201, 4, 8
2026-09-04T08:35:47.6718437+07:00,2026/09/04 08:35:47.702, NVIDIA GeForce RTX 5060, 591.86, P8, 30, 3, 583, 8151, 10.19, 145.00, 480, 405, 1, 8
2026-09-04T08:35:52.7248461+07:00,2026/09/04 08:35:52.755, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 583, 8151, 10.06, 145.00, 540, 405, 1, 8
2026-09-04T08:35:57.7775806+07:00,2026/09/04 08:35:57.808, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 583, 8151, 9.92, 145.00, 495, 405, 1, 8
2026-09-04T08:36:02.8304665+07:00,2026/09/04 08:36:02.861, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 583, 8151, 9.88, 145.00, 487, 405, 1, 8
2026-09-04T08:36:07.8805365+07:00,2026/09/04 08:36:07.911, NVIDIA GeForce RTX 5060, 591.86, P5, 30, 1, 580, 8151, 17.93, 145.00, 772, 810, 2, 8
2026-09-04T08:36:12.9181259+07:00,2026/09/04 08:36:12.949, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 580, 8151, 9.99, 145.00, 472, 405, 1, 8
2026-09-04T08:36:18.0331447+07:00,2026/09/04 08:36:18.064, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 580, 8151, 9.87, 145.00, 480, 405, 1, 8
2026-09-04T08:36:23.0861442+07:00,2026/09/04 08:36:23.117, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 7, 580, 8151, 9.96, 145.00, 472, 405, 1, 8
2026-09-04T08:36:28.1383358+07:00,2026/09/04 08:36:28.169, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 580, 8151, 9.83, 145.00, 465, 405, 1, 8
2026-09-04T08:36:33.1913560+07:00,2026/09/04 08:36:33.222, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 580, 8151, 9.86, 145.00, 480, 405, 1, 8
2026-09-04T08:36:38.2443534+07:00,2026/09/04 08:36:38.275, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 578, 8151, 10.06, 145.00, 472, 405, 1, 8
2026-09-04T08:36:43.2970460+07:00,2026/09/04 08:36:43.328, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 572, 8151, 10.05, 145.00, 487, 405, 4, 8
2026-09-04T08:36:48.4130486+07:00,2026/09/04 08:36:48.490, NVIDIA GeForce RTX 5060, 591.86, P5, 29, 1, 578, 8151, 10.26, 145.00, 562, 810, 1, 8
2026-09-04T08:36:53.5115659+07:00,2026/09/04 08:36:53.542, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 578, 8151, 10.09, 145.00, 495, 405, 1, 8
2026-09-04T08:36:58.5490664+07:00,2026/09/04 08:36:58.580, NVIDIA GeForce RTX 5060, 591.86, P8, 29, 1, 578, 8151, 9.78, 145.00, 480, 405, 1, 8
