epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,0.754001,1.33056,2.58918,0.01381,0.84474,0.65478,0.89762,0.67459,1.53815,1.03723,0.01128,0,0,0
2,1.6585,1.47635,2.47223,0.01785,0.84474,0.65478,0.89762,0.66634,1.53815,1.03723,0.01128,3.9274e-05,3.9274e-05,3.9274e-05
3,2.343,1.26594,2.34089,0.01915,0.84474,0.65478,0.89762,0.66634,1.53815,1.03723,0.01128,7.77625e-05,7.77625e-05,7.77625e-05
4,3.036,1.6024,3.05365,0.02114,0.84232,0.68214,0.90066,0.66151,1.58252,1.04222,0.01168,0.000115466,0.000115466,0.000115466
5,3.732,1.27501,3.08745,0.02235,0.84232,0.68214,0.90066,0.66151,1.58252,1.04222,0.01168,0.000114288,0.000114288,0.000114288
6,4.4265,1.32203,3.63083,0.02687,0.84232,0.68214,0.90066,0.66151,1.58252,1.04222,0.01168,0.00011311,0.00011311,0.00011311
7,5.1205,1.15019,2.43632,0.01241,0.83884,0.68562,0.90387,0.66234,1.56664,1.05425,0.0115,0.000111931,0.000111931,0.000111931
8,5.825,0.98902,2.55614,0.01308,0.83884,0.68562,0.90387,0.66234,1.56664,1.05425,0.0115,0.000110753,0.000110753,0.000110753
9,6.5235,1.20725,2.35857,0.01446,0.83884,0.68562,0.90387,0.66234,1.56664,1.05425,0.0115,0.000109575,0.000109575,0.000109575
10,7.2385,1.13778,2.23408,0.01532,0.80626,0.66859,0.87269,0.64701,1.6455,1.03905,0.01285,0.000108397,0.000108397,0.000108397
11,8.0771,1.26517,1.99536,0.01375,0.80626,0.66859,0.87269,0.64701,1.6455,1.03905,0.01285,0.000107219,0.000107219,0.000107219
12,8.9226,1.16042,1.69808,0.01297,0.80626,0.66859,0.87269,0.64701,1.6455,1.03905,0.01285,0.000106041,0.000106041,0.000106041
13,9.76111,1.17943,2.34459,0.0127,0.73748,0.66886,0.86093,0.62611,1.6736,1.09699,0.0134,0.000104863,0.000104863,0.000104863
14,10.5046,0.97056,2.05125,0.01704,0.73748,0.66886,0.86093,0.62611,1.6736,1.09699,0.0134,0.000103685,0.000103685,0.000103685
